,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
339,Mahindra,3.7,Private,27,1400,6400,46,113
340,IKS,3.6,Private,16,1400,7900,98,37
341,Poonawalla,4.0,Public,35,1400,5900,27,2
342,V,4.3,Public,21,1400,3700,73,35
343,Datamatics,3.7,Public,48,1400,9000,83,199
344,Ambuja,4.0,Public,40,1400,6500,64,2
345,XpressBees,3.9,Private,8,1400,6400,93,113
346,Indian,4.1,Private,170,1400,3100,54,2
347,Parle,4.2,Private,39,1400,5900,56,1
348,Crom,4.3,Private,17,1400,5300,44,78
349,DS,4.0,Private,94,1400,5400,54,41
350,Indus,4.0,Private,16,1400,6800,84,27
351,Shriram,4.1,Public,37,1400,7300,35,3
352,Taurus,4.7,Private,8,1400,558,12,2
353,Sterling,4.1,Private,96,1400,8900,43,10
354,Marpu,4.9,Private,7,1400,4,12,2
355,Zomato,3.7,Public,15,1400,10500,143,1
